Valor 35680 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 62469 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 74886 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 38285 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 11522 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 64400 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 47246 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 96337 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 92554 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 36088 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 36377 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 55539 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 24857 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 46049 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 77107 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 35637 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 66081 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 24027 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 44864 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 83076 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 87127 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 30227 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 34278 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78750 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 82132 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 36166 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 32394 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 63568 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 84791 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 99481 encontrado em 1 passos, tempo: 0.000008 segundos
Valor 88216 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 95645 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78128 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 63409 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 65644 encontrado em 2 passos, tempo: 0.000001 segundos
